subject,chapter,question,option_a,option_b,option_c,option_d,correct_option
Spark,General,Test Series 1 - Spark (FULL MCQ),,,,,
Spark,General,What is the primary abstraction provided by Apache Spark for working with data?,HDFS,Hive Table,RDD,HBase,C
Spark,General,Which language is NOT officially supported by Apache Spark?,Java,Scala,Python,PHP,C
Spark,General,What does DAG stand for in Spark's execution model?,Direct Acyclic Graph,Data Access Graph,Distributed Aggregation Group,Directed Assignment Graph,C
Spark,General,What is SparkSession in Spark 2.0+?,A wrapper for SQLContext only,An entry point to Spark functionality,Used only for streaming,Obsolete in Spark 2.0,C
Spark,General,Which of the following is true about RDD?,It is mutable,Supports SQL-like queries,Allows low-level transformation and action,Automatically handles schema,C
Spark,General,"In Spark, what is lazy evaluation?",Data is not processed,Transformation evaluated only on action,Data is stored in cache,Actions are never run,C
Spark,General,Which transformation applies a function to each element of source RDD?,filter(),map(),reduce(),collect(),C
Spark,General,Which Spark component supports real-time stream processing?,Spark SQL,Spark Core,Spark Streaming,MLlib,C
Spark,General,DataFrames in Spark are:,Only available in R,A distributed collection of data organized into named columns,Faster than RDDs in all cases,Only used in Structured Streaming,C
Spark,General,SparkSession is used to:,Configure Hadoop,Create RDDs only,Entry point to Spark SQL DataFrame Dataset API,Store data in Hive,C
Spark,General,RDDs are:,Mutable,Immutable distributed collection of objects,Local data structures,Only available in Java,C
Spark,General,Spark Streaming is used for:,Static data,Real-time data processing,Only batch processing,Sorting only,C
Spark,General,The persist() method is used to:,Save data to HDFS,Create DataFrame,Cache memory/disk,Stream data,C
Spark,General,RDDs are best used when:,Require strong schema enforcement,Working with structured data,Working unstructured/low level,Using Spark SQL,C
Spark,General,What does reduceByKey() do?,Remove duplicates,Combine values of same key,Sort by key,Shuffle keys only,C
Spark,General,Which function preferred for grouping + aggregation?,groupByKey,filter,reduceByKey,flatMap,C
Spark,General,Broadcast variables are used to:,Distribute large datasets,Share read-only data across all nodes,Store log files,Persist RDDs,C
Spark,General,What causes shuffle in Spark?,Data filtering,collect(),Grouping or sorting by key,Reading CSV,C
Spark,General,Which avoids recomputation?,filter,collect,persist,count,C
Spark,General,Accumulators in Spark:,Debug + count events,Return results to driver,Like broadcast,Create RDD,C
Spark,General,Which component is responsible for Spark SQL optimization?,GraphX,Catalyst Optimizer,MLlib,Spark Core,C
Spark,General,Which is not a valid deployment mode?,Local,Standalone,Kubernetes,Jetty,C
Spark,General,Which adds compile-time type safety in Scala?,RDD,DataFrame,Dataset,HiveContext,C
Spark,General,"In Spark JDBC,which method reads DB?",read.json(),read.jdbc(),loadFromDB(),db.read(),C
Spark,General,Structured Streaming deals with:,Static CSV,Real-time as unbounded table,OLAP cubes,MapReduce,C
Spark,General,Key benefit DataFrame over RDD?,RDDs support more languages,In-memory ops,Catalyst optimization,Store as files,C
Spark,General,Which is an RDD Action?,map(),flatMap(),reduce(),filter(),C
Spark,General,Spark can be run on:,Hadoop,Kubernetes,Standalone,All of the above,C
Spark,General,Which allows shared variable across tasks?,SharedContext,Broadcast variable,Config variable,RDD cache,C
Spark,General,Joining small + large DF optimize?,repartition large,groupBy,broadcast small,persist large,C
Spark,General,In Structured Streaming batch delay?,Data lost,Next skipped,Wait or drop,Nothing,C
Spark,General,Suitable format logs?,TXT,Parquet,XML,DOCX,C
Spark,General,Spark job memory issue tune first?,spark.shuffle.compress,spark.executor.memory,spark.driver.port,spark.sql.cache,C
Spark,General,Which avoids full shuffle?,join,groupByKey,reduceByKey,repartition,C
Spark,General,Spark DAG defines?,Lazy transforms chain,RDD log,Checkpoint,Reducer,C
Spark,General,Shuffle issue partitions?,Set catalog,Use checkpoint,Increase parallelism/memory,Disable logging,C
Spark,General,Native Structured Streaming source?,Facebook Live,MySQL,Kafka,Redis,C
Spark,General,Missing value imputation?,drop(),replace(),Imputer,clean(),C
Spark,General,collect() does?,Run workers,Bring dataset to driver,Delete RDDs,Partitions RDD,C
Spark,General,Spark without Hadoop runs on:,YARN,HDFS,Standalone scheduler,MapReduce,C
Spark,General,.coalesce(n) does?,Increase partitions,Reduce partitions,Merge rows,Clean data,C
Spark,General,Process 10M logs find errors?,DF filter+groupBy,groupByKey,Excel,collect(),C
Spark,General,JDBC timeout troubleshoot?,Increase memory,Check port/firewall,Restart Spark,Use Streaming,C
Spark,General,Architecture Kafka,Lambda,OLAP,Batch,Streaming pipeline,C
